id,title,description,link,image_link,price,availability,condition,brand,google_product_category
divine-trinity-starter,Divine Trinity Starter,Entry bundle for AI automation — includes Zeus + Aphrodite + Lifesphere starter access,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/divine-trinity-starter.jpg,69.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
divine-trinity-pro,Divine Trinity Pro,Professional AI automation package with all three temples,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/divine-trinity-pro.jpg,119.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
divine-trinity-elite,Divine Trinity Elite,Elite bundle for advanced automation across all temples,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/divine-trinity-elite.jpg,499.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
divine-trinity-enterprise,Divine Trinity Enterprise,Enterprise-grade automation suite for teams,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/divine-trinity-enterprise.jpg,249.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
divine-trinity-olympus,Divine Trinity Olympus,Ultimate Olympus bundle — full access to all temples and features,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/divine-trinity-olympus.jpg,999.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
zeus-spark,Zeus Spark,Lightweight automation starter — Zeus Temple entry tier,https://kypriatechnologies.org/docs/divine-trinity/zeus,https://kypriatechnologies.org/images/zeus-spark.jpg,29.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
zeus-builder,Zeus Builder,Automation builder toolkit — Zeus Temple standard tier,https://kypriatechnologies.org/docs/divine-trinity/zeus,https://kypriatechnologies.org/images/zeus-builder.jpg,49.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
zeus-architect,Zeus Architect,Architect-level automation design — Zeus Temple advanced tier,https://kypriatechnologies.org/docs/divine-trinity/zeus,https://kypriatechnologies.org/images/zeus-architect.jpg,99.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
zeus-titan,Zeus Titan,Robust automation engine — Zeus Temple premium tier,https://kypriatechnologies.org/docs/divine-trinity/zeus,https://kypriatechnologies.org/images/zeus-titan.jpg,199.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
zeus-olympus,Zeus Olympus,Advanced automation platform — Zeus Temple ultimate tier,https://kypriatechnologies.org/docs/divine-trinity/zeus,https://kypriatechnologies.org/images/zeus-olympus.jpg,499.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
hermes-courier,Hermes Courier,Fast AI distribution tool — Hermes entry tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/hermes-courier.jpg,29.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
hermes-messenger,Hermes Messenger,Messenger integration suite — Hermes standard tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/hermes-messenger.jpg,49.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
hermes-herald,Hermes Herald,Herald broadcast automation — Hermes advanced tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/hermes-herald.jpg,99.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
hermes-envoy,Hermes Envoy,Envoy distribution manager — Hermes premium tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/hermes-envoy.jpg,199.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
hermes-divine,Hermes Divine,Premium distribution package — Hermes ultimate tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/hermes-divine.jpg,499.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
myth-muse,MYTH Muse,Creative inspiration powered by AI — MYTH entry tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/myth-muse.jpg,29.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
myth-creator,MYTH Creator,Creator suite for AI content — MYTH standard tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/myth-creator.jpg,49.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
myth-artisan,MYTH Artisan,Artisan creative toolkit — MYTH advanced tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/myth-artisan.jpg,99.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
myth-visionary,MYTH Visionary,Visionary creative platform — MYTH premium tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/myth-visionary.jpg,199.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
myth-olympian,MYTH Olympian,Olympian creative suite — MYTH ultimate tier,https://kypriatechnologies.org/docs/divine-trinity/,https://kypriatechnologies.org/images/myth-olympian.jpg,499.00 USD,in stock,new,Kypria Technologies,Software > Business & Productivity Software
